,reviewText,predSumary,actualSummary
7914,"CLASSIC:CONTROL1986
style:FUNKY

theSkeptical, annoyed, undecided, uneasy or hesitantONGS

WHAT HAVE YOU DONE FOR ME LATELY:funky:FUNKYFrown, sad, andry or poutinglassicSealed lips or wearing braces or tonguetied4 SINGLE
NASTY:URBAN:funky:MISS JACKSONSealed lips or wearing braces or tonguetied3 SINGLE
CONTROL:independence:ROBOTICFrown, sad, andry or poutingleverSkeptical, annoyed, undecided, uneasy or hesitantYRICSSealed lips or wearing braces or tonguetied5 SINGLE
WHEN I THINK OF YOUTongue sticking out, cheeky, playful or blowing a raspberryOP:easyLaughing, big grin or laugh with glassesANCEABLESealed lips or wearing braces or tonguetied1 SINGLE
THE PLEASURE PRINCIPLE:funk:TO DANCE:extreme:BEATSSealed lips or wearing braces or tonguetied14 SINGLE
LET US WAIT A WHILESkeptical, annoyed, undecided, uneasy or hesitantLOW:wait?:TENDERSealed lips or wearing braces or tonguetied2 SINGLE
HE DOES NOT KNOW THAT I AM ALIVETongue sticking out, cheeky, playful or blowing a raspberryOPFrown, sad, andry or poutingheesyLaughing, big grin or laugh with glassesEBBIE GIBSON
FUNNY HOW TIME FLIES:slow:RB:sleep
YOU COULD BE MINE:rossalike:WORSE:song

THE:videos

WHAT HAVE YOU DONE FOR ME LATELY:paula abdulLaughing, big grin or laugh with glassesINNER:attitude
NASTYFrown, sad, andry or poutinginemaLaughing, big grin or laugh with glassesANCIN:sleek
CONTROLFrown, sad, andry or poutingoncert:ROBOTS:live
THE PLEASURE PRINCIPLE:dancemania:BEST:funky
LET US WAIT A WHILE:rounTongue sticking out, cheeky, playful or blowing a raspberryTHEFrown, sad, andry or poutingity:CAR
WHEN I THINK OF YOU:navy:NYCSurpriseld lady:KIDS:summer

theSkeptical, annoyed, undecided, uneasy or hesitantEGACY

One of the funkiest album ever made, and the beginning of a great artistic relation between Janet and Jimmy/Terry.

Santiago Lpez
Visit Guatemala you WILL enjoy it!",LOVED IN THE PRINCIPLE,CLASSIC RECORDS:JANET JACKSON:CONTROL:1986:5xPLATINUM
7915,"this is crystalized lemon/pepper mojo, so far everything I have used it in has been a winner.  I am a pretty good cook it is my hobby and gift to my family and fish, chicken, even pork has benefited from this either directly or in a rub.  Give this stuff a try!",the perfect mojo!,I'm a pretty good cook (it's my hobby and gift to my ...
7916,"Good product, not easy to install, I will go to the dealer next time.",Five Stars,"Right Price, Quality Unit"
7917,Awesome for fine motor development as well as shape and color recognition. My kids loved spooning from the big bowl to the little bowls which is great motor development. Their favorite part was when the spoons would light up so they could get the different colored cereal out. Super fun game for young kids!,Awesome,Awesome for fine motor development as well as shape and ...
7918,"I get my cartridges refilled at  a local outlet for about half the cost now.  Long live capitalism, when it works for me.",Good for the price now.,I get my cartridges refilled at a local outlet for ...
7919,2 Year old boxer rescue loves this.,Five Stars,Affordable grain free food
7920,These are very good and serve the purpose well. When they heat up they cook the food thoroughly. They should be used on gas grilles.,The best and the least expensive,These are very good and serve the purpose well
7921,"Nice looking card that would be suitable for many different occasions. It looks beautiful in the product images, but in person I felt it did not look like it should cost almost $9. But overall it is still a very nice looking card and I am sure most females would love receiving this card.",Nice looking card that would be suitable for many different occasions,Nice looking card
7922,This is an awesome knife!!  Watch out it will cut your finger off.,This is an awesome knife!! Watch out it will cut your finger off,Five Stars
7923,A BRITISH LAWYER WITH A WIFE WHO RULES. HE IS FAT AND FUNNY  AND THE ENGLISH JUDGE GIVES HIM A HARD TIME.HE SEAMS TO OVER COME AND WINS THE DAY. GREAT FUN,GIVES HIM A HEARD TIME,RUMPOLE of the BAILEY (complete set)
7924,Great product. Does it is job. Works perfect. Very Satisfied. Would recommend to anyone,Works great.,Five Stars
7925,"I do not really know why, but I was hesitant to buy this album  maybe it was some of the reviews. I have always been a huge Blackmore fan, he is my favorite guitarist and this album really does not dissappoint. Now; is this ""Rising""no, is it ""Bent Out Of Shape""no. What it does sound like is a mix of music from the Dio yearsWolf To The Moon and the JLT yearsToo Late For Tears. Blackmore's playing is excellent  as always, however I was dissappointed that there was no instrumental as these are often my favorite moments on any Rainbow album.

Vocalist Doogie White does a good job handling things, he is not Dio or JLT but he does not have to be. It is strange but Rainbow and vocalists is like UFO and guitarists, everyone has their favorite and seems to dump on the others. Blackmore has made some great music with every singer he has ever worked with and that continues here. Also, the beginnings of Blackmore's Night are here with Candice Night cowriting four songs.

Song Highlights include: Cold Hearted Woman, Stand And Fight, Ariel, Black Masquerade, Hall Of The Mountain King and the rerecording of Still I am Sad.

All in all this is a good Rainbow album with some very good moments. Rainbow fans should like it and it deserves a listen.",Blackmore's Night is here with Candice night cowriting four...,"A very good, overlooked Rainbow album..."
7926,"very good computer the intel Dual Core i32120 3.3GHz CPU, 4GB DDR3 RAM, 500GB HDD configuration is good enough for light use. The price is amazing",Very good computer the intel Dual Core i32120,very good computer the intel Dual Core i3-2120 3
7927,I love the thin cans.  They save a lot of space in the fridge.  The Green apple flavor is unique.,One Star,I love the thin cans
7928,"this is a good cd from around 1979. i had the ""8track"" of thislordynow i have the cd and loaded a few songs on my ipodclassic good cd.",Great cd,linda ronstadt
7929,good,Five Stars,Five Stars
7930,I love the product. I have been using it for 2 months. The product is expensive but I think it is worth it.,Very good product,I love the product
7931,"Such fun bright colors. The girls at my sons birthday party loved them. They were all running around wears them, swapping them out for other colors! Easy to clip in long or short hair",Fun colored,Fun!!!
7932,works,Five Stars,Four Stars
7933,Beautiful,Five Stars,Five Stars
7934,I love this Hummingbird Feeder.  It is very well constructed with a very thick glass tube and sturdy metal cap and base.  I hung it outside my kitchen window and have seen many hummingbirds eating from it.  I was not even sure my area had hummingbirds.  Assembly was super easy and I had it up the same day that it arrived.,Very easy and I had it up the same day that,I love this Hummingbird Feeder
7935,"I now have these things all over the place, the smaller one as well.  Mainly the bathroom, one in the kitchen.  I find with all the concentrated soaps that I was usually using too much ok, yeah I could just use less, then the mess, bottles, etc.  Dispenses 1/3 ml pure pump. Works great, the bottom section is clear so you know when you are getting low.",Great soap,Great dispenser
7936,"The best thing about Wired is that it has stayed true to its roots over all of these years.  Wired has always had a forwardlooking, sophisticated attitude toward technology.  You can tell that every article is wellresearched and no feature in the magazine is an afterthought.  In every issue, you will finTongue sticking out, cheeky, playful or blowing a raspberry
 stories about the unsung heroes who are really responsible for pushing the limits of technology
 some politicallyoriented article that shows the growing interplay between technology and politics
 cool digital and electronic gadgets that usually cost a lot of $$
 fun stuff like Jargon watch, Wired vs. Tired, and even some of the ads how often can you say that?
Beyond that, I find Wired is the best place to read about things like the melding of human and computer and the progess of technology outside of the YOU.S.  So, I find every issue interesting.  It is a little less useful to me as an investor in technology stocks, but it does offer me that broader perspective on technology that helps put investable ideas into context.  The clincher is the price  a small sacrifice for so much intriguing and entertaining content.  I once considered discontinuing my subscription, but realized that it is so different from everything else I read and just one decent article an issue makes it worthwhile.  Very glad I kept it.  So, if you have never read Wired, I would give it definitely give it a try.",A good quality article for tech investors,"Still bleeding edge, which makes it different"
7937,"This color Tickle My Francey was definitely not what I expected.  I do not know if it is an old batch or what but it is not my favorite.  MUCH more of a purplemauve than any of the photos here appear.  I would not call this a neutral, really.  It is very purple to me.  It looks all right on my fair skin but I would not purchase this shade again in the future unless it was in person and the color appeared more neutral and muted.",Not a neutral color,too purple
7938,"It is not the easiest thing to apply, but it does improve temperature regulation of the extruder. If your extruder is not insulated, you need this.",Exactly what you need,A must-have addition to uninsulated extruders.
7939,"the ability to see my in and out TDS is a must it tells when the filters are starting to fail, product is very accurate",very accurate,Great Product a must for RO systems
7940,"It is true what they say, that a little dose of encouragement can go a long way. In her very first book Cassandra BakerDurham has given us a guide so to speak. A guide on how to deal with the struggles that life throws at you. How to defeat what the devil puts out into the universe with prayer and belief in a higher power. I appreciated this book because I myself have been through some server and hard times. Sometime i felt like giving up. But with God's grace...I made it. If I had a book like this at my disposal during those times, I believe my healing would of been a lot easier. This is a great book full of wisdom and guidance. Great job, Cassandra!! I would definitely recommend this book to others.","Great book, Cassesandra BakerDurham!",A little dose of encouragement......
7941,"Not the best but for the price It is good. It shows my tap water is slightly basic, appears to be around a pH of 8. You can differentiate between very acidic12, acidic34, neutral7, basic910, and very basic1114 easily. If you want something that tells you its at a pH of 7.5 or something more analytical DO NOT get this. If you want something that tells you the pH is acidic but not too acidic, neutral, or slightly basic to very basic this will do the job just fine. I would not use it to determine the pH of my swimming pool though.",A good price but not the best,Good for determining pH range. Not for pools and analytical purposes though.
7942,"I use this to walk and run with my dog, and it is the PERFECT size for that and my key chain. I am so glad I ordered it, and it fits perfect in my hand to have my thumb on the switch. If anything were to ever happen, it easily switches over to open and can spray.",Great product,Perfect size for a leash
7943,"The features I was looking for when I was researching:
 portability, protective coverage, smart cover, appearance

Main products I have looked into from Amazon:
 Case Crown and Invellop

What I like about this product:
 Very Slimprotection just good enough against scratches
 Back Cover and Smart front cover combined
 All the buttons are accessible
 Easy to put on I have a Ipad2
 The cover stays on when holding with one hand upside down

What I did not like about this product:
 The smart cover is not as secure I hoped to be when comparing to the ipad smart cover. More magnets or stronger magnets would make this product better. I do not want to worry about having it accidentally turn on. Of course you can turn off the feature.

 There are number stickers on the inside and if you do take them off it leaves a sticky residue. Note to manufacturer: put the sticker where if you peel it off would not damage or alter the product such as the outside of the case.

 Although it is snug, I feel like some areas of the back does not make a tight fit. It could be a pro and con since it can be easier to take out.",Great product,My first case and my thoughts
7944,Ok,Five Stars,Four Stars
7945,"Definitely a must have. Since I started using these skimmer socks, pool maintenance has become much easier. They wear out after a couple of months, but that is expected with chlorine and such. Highly recommend.",Very nice socks for pool maintenance,Pool saver!
7946,it fits perfectly on my car and no matter how much my car shakes it does not fall off i definitely recommend this product,Great product,i love it
7947,So happy that Sky and Jonathan had their happily ever after. Hope we get an update on their life like we did for Sarah and Joshua. Would love to hear more after they got married.  By Regan Taylor,So happy that Sky and Jonathan had their happily ever after,Absolutely wonderful !!!!! READ IT !!!
7948,BEST sneakers I have ever purchased!!!!,Five Stars,Five Stars
7949,I have 2 of these collapsable containers and I use them almost every day when I am weeding or just cleaning up.  Very light and durable and absolutely indispensable for gardeners. They also come in a larger size.,One Star,Gardener's Best Friend
7950,"exceeded my expectations!
its pretty loud and sound quality is good! so far battery lasts and the Bluetooth has good range",its pretty loud and sound quality is good! so far battery lasts...,its pretty loud and sound quality is good
7951,"I play guitar in theatre pit orchestras and I do not know what I would do if not for this pedal. I almost always need at least electric and acoustic and often nylon string and mandolin as well as others and this is the easiest solution for me. 1 good amp, 3 or 4 or 5 depending on your amp inputs with no extra buzz and easy stomp switching. Which is good when you have 2 measures of music to switch guitars!",I use guitar in theatre pit orchestras and...,Life saver
7952,"Exelent product! Generous amount in the packaging, can be used all over the face. Will buy in the future.",Five Stars,Like it
7953,"As much as this release has been delayed and put off.  I was seriously hoping for a better effort.  But i did not get that with Busta's latest effort ""Back on my B.S."" as its evident.  He is not even close being back on his game at all.  I remember being a huge fan of his for many years.  I did not think about checking to see how this was before buying it.

That was my mistake as I do not feel that fire that he is had on previous releases at all.  The songs just seem to go from one to another without much feeling or energy at least not to me.  I did like 3 or 4 of the songs like:
""Respect My Conglomerate"" w/Lil Wayne  Jadakiss
""Shoot For The Moon""
""Hustler's Anthem '09"" w/TPain
""Decision"" w/Mary J Blige, Jamie Foxx, John Legend  Common

Those were the only ones that I am feeling and would listen to Busta's latest release.  I am still a fan without a doubt.  But i just hope that next time around he comes with the fire, drive and lyrics that we are used to.  Because he is talented without question but this time around.  I cannot in good conscience give this anything better than 2 stars.

It is lacking and I do not believe that ""Back On My B.S."" will satisfy even the most hardcore Busta fans.  I am just not with it this time.  Looking forward to the future for him and hope he bounces back.",Not for Busta fans,he is on something
7954,no driving to the mall!,Three Stars,Five Stars
7955,Anna Moffo soars here. Buy it and hear!!,Five Stars,Anna Moffo ..Brava!!
7956,"Good timing on delivery and the cost of the item was very good. The condition is very good,.",Good timing on delivery and the cost of...,Heather H
7957,"Did not have many PS2 games on it.  Codes that I looked up would not work.  Some codes that came installed on the disc would not work.  Overall, I wish I would have spent my money elsewhere.  All I got was a big headache.  Hindsight is 20/20.  I should have listened to the reviews.",Love it,DO NOT BUY THIS CRAP
7958,does taste like Honey,Five Stars,Four Stars
7959,OK,Five Stars,Three Stars
7960,write review,Five Stars,Five Stars
7961,Excellent,Five Stars,Love it
7962,my Beagle does not like to use it. Product is little wobbly. my dog got on the first step and came back down right away because my Beagle does not feel safe.,good product,Product is little wobbly
7963,Fast shipping and turned out as expected. Could not be happier.,Five Stars,Great shoes
7964,Ihave this one.dawn melvin,Five Stars,Five Stars
7965,Got this phone case for my daughter for Christmas and she loves it.,Five Stars,Five Stars
7966,fit right on.,Five Stars,Five Stars
7967,"i gave this product a five star review, but in fact, you get many many more stars than that.",five stars,5 Stars
7968,"My review is not of the film, but of the HD transfer.  For the most part, the transfer looks great, the effects still stand out and sometimes even look better than the cgi garbage being thrown at us these days. The bad news is the scenes with the flickering television looks all muddy and murky, one of the disadvantages of HD. The dvd release never had this problem before. Because of the HD transfer we get a lot of digital noise that really makes you wish for an analog television,  it is that bad! As for the extras I was a bit disappointed that there was not any cast or crew interviews upon the making of this film. What we do get is a run of the mill documentary about paranormal experiences,  something that would have been okay had there been as I said earlier of the cast and crew. For about 80 percent of the film the transfer looks amazing, but buyer beware when the ""snowy"" and flickering scenes arrive, otherwise a pleasant viewing experience.",Requires a review of the HD transfer,Digital Noise from the Other Side?
7969,Kitty has not fallen off yet! Clean the window and suction cups thoroughly!,Kitty has not fallen off yet! Clean the window and suction cups thoroughly,Kitty loves it!
7970,"I have had many Ahava products over the years.  This is the first mud one for my feet.  My wife and other relatives enjoyed the mud masks for the face.  The Ahava regular foot and hand creams are great.  This kicks it up a few notches because of the mud.  The smell is great.  The feeling on your cracked, dry barking dogs feels great  even for us manly guys.  I also used it for my son who has terrible dry skin and eczema behind his knees.  He did not like the smell that much, but loved the feeling of the lotion.

Unless you plan on traveling to the Dead Sea in Israel, this is a great thing to use.",Great for the money,Outstanding foot therapy
7971,"Battery lasts a long time! This is easy to move and use. Thisncan be stood up on a flat surface, clipped to a thin surface, or put on a magnetic surface.

Although reading chagr pretty quickly give it several minutes to stabilize.

Have multiple for work purposes.",Very fast and quick to move.,Works as intended
7972,"Normally use the Dremel abrasive cutoff wheel, but thought I would try these out.  They work well and the price is more in line with what I am willing to spend as compared to Dremel version.","Great product, great price",Work Better Than Abrasive Wheels
7973,My husband has been eating a lot of tomato soup here lately.,My husband has been eating a lot of tomato soup here lately,Five Stars
7974,This music gets you singing and dancing. I listen to this alot in my car and I enjoy it. I bought this cd to replace my old one because it got scratched up...,Love this cd,Entertaining and Clean
7975,I bought this item a week ago to share the printer on two machines. There is no problem in setting up this network server. I have an old hp office jet printer which has parallel port; I connect printer to usb 4 hub by cable which has on one end IEEE connector go to printer and other end is usb which is connected to usb 4 hub and hub is connected to arkview server. Software of arkview easily recognize the printer. I attached other usb flash drive. It recognize it too. I installed server on two computers. It is working good.,Worked good,Good home network server
7976,"This was enormous. I looked at the size before I bought it of course, but somehow I still was not prepared for the size. Takes up a good deal of cabinet space. Kids said it was just as fresh as the same cereal purchased in smaller boxes at the grocery store.",This was enormous. I looked at the size before...,Enormous!
7977,great product,Five Stars,Five Stars
7978,Perfict for the atv and bike,Five Stars,works like a dream
7979,"what can you say, they just work like they are suppose to, always","what can you say, they just work like...",they just work like they are suppose to
7980,"Now I can use all my Carl Zeiss T lenses. It is a very good adapter holding the lens firmly to the camera body. Now I can again use my 85mm, 25mm and 200mm. They are all very fast expensive lenses and now back out of the closet. The camera does not read the lens but as I almost always shoot in manual and use a incident meter it is not a problem at all. I would say if you shot with Contax T or Yashica ML lenses in the past with film get this device and increase your lens selection.",Very fast expensive lenses and now back out of the closet,good for Canon t2i
7981,Just what it says it is and for a great price,Five Stars,Five Stars
7982,I liked this book.  All the reasons why a person can become a serial killer are explored as our characters go through the terror of being threatened by a serial killer.  Very well written.  The characters are real and not easily forgotten nor is this story.  Explores the workings of various police agencies as they try to solve a case.,Great book.,A different serial killer
7983,My cats will not eat anything else now. They love this.,Five Stars,Cat approved!
7984,Very good gloves forgo e use. Satisfied and the pric. isveryeSvery good.,Very good gloves forgo e use,OneGlove Clapping....bravo!
7985,These work great,Five Stars,Love them
7986,"Cannot say enough positive things about this case, I absolutely love it. It came with a screen protector, but I did not end up using it so I cannot vouch for that. The only slight issue with the case was the power and volume buttons required a little bit of force for them to register, but after about a week or two the rubber has soften a little bit and I no longer have issues with it. Must have for all the SG3 owners.",I absolutely love it,Great Case!!!
7987,It is ok.  I bought this sugar substitute for making icecreme.  It did not work out well.  Does not desolve well.  Large crystals.  The large crystals would look nice on top of cookies etc. but not good for cooking with.,"It's OK, I bought this sugar substitute for making icecreme",Not sure of its best use
7988,Great Christmas gift!,Five Stars,Five Stars
7989,perfect. made the iphone that is old but nice look nicer. its great for spiffing up your ihpone added protection to,Great for spiffing up your,if you want your older model to look sleek and sexy buy this
7990,"I have a very large aquarium with many hungry fish, it seemed like i was buying food every week. I am glad that i was able to find this size product at such a great deal. At the local pet store they can order this special for me but they said it would cost close to $50. I will be buying this on a regular basis definately",One Star,Great product
7991,was not what I expected,Five Stars,Two Stars
7992,"I gave 3 stars because this  book just was not a huge hit with me.
The writing was  good and I liked the  twists and turns and the  surprise of who the bad guy was. I did feel like this book dragged on. I usually read a book in a week or less, but this book took me a lot longer because  I was  not very interested  in reading it. Like I said though, this is not really my type of book. I  you like murder, abduction, cold case, surprise ending books then this may be  for you",Not a great book for me,Say you've sorry
7993,Smells really good and goes on smooth. I use this in the morning under sunscreen and my face does not get flaky or dry. Really good for calming my skin down.,A great sunscreen,Good for Dry/Sensitive Skin
7994,Best bike tiedown I have ever used. Made in USA!,Best bike tiedown I've ever used,Five Stars
7995,awesome in a pinch,Five Stars,Four Stars
7996,good anti virus being  disabled when I can afford a full  version I will  buy it,great anti virus being disabled when I can afford a full version,works great
7997,"These are a fun reminder of a childhood favorite.  The pack that I received was very fresh and tasted just like I remembered.  These weigh virtually nothing, so on a ""per pound"" basis, they are very expensive.  But, for a one time or occasional treat, it is worth it!",The pack I received was very fresh and tasted just like...,Fun and fresh!
7998,"I have been expecting this serum to work as advertised. I have combination acne prone skin with some acne scars. I have expected it to smooth out my skin and make my pores smaller and reduce one of my acne scars. The instructions for the product are to use it after cleaning your face and then to put moisturizer on top, twice a day. I have gotten into the habit of doing that. However, I am not seeing any difference in my skin, except that some of my redness is a little bit decreased but I am unsure if I should attribute that to this serum or to my moisturizer.

As for the scent, it did not bother me, however it is strong and does smell like watermelon. So, results may vary when it comes to the scent.",Recommended for acne scars,Did Not Live Up To Claims
7999,I love these boots. They are so cute. They fit a wide leg at the top and are super comfy. I am so happy and they have held up quite well.,Super cute,Pretty boots great fit.
8000,I love this shampoo!!!!!!,Five Stars,Frizz be gone
8001,"Looks great, I dropped it once and did not break the Fire, so it must work well...",Five Stars,Looking good...
8002,NICE CASE BUT IT DOES NOT FIX THE DROID MAXX,INTRODUCTION,Four Stars
8003,Good and fresh looks a,Four Stars,A+
8004,Not familiar with the product,Five Stars,Four Stars
8005,"Wonderfully written , 1st book for Kasidy Blake and I can see many more coming from her . Take the time and read . Outstanding Job !",Five Stars,CONGRATS GREAT BOOK
8006,the cereal was bland tasting.,Five Stars,Three Stars
8007,"This is a very helpful tool for die cutting with the Cuttlebug.  It is a shim, that helps when cutting thinner dies.  I recommend this tool.",This is a very useful tool for die cutting with the Cuttlebug,Very helpful tool
8008,"Excellent!  These shipped from China, but that really did me ""shipped"".  I had to wait some weeks, but these are great.",Great,Excellent! These shipped from China
8009,"This thing rocks! I spent months reading reviews and finding the perfect device. This comes very close. It won out over the Cowon D2, and Sansa View. The Archos Wifi, iRiver, and iPoodo notTouch will not expand w/ SD cards, so are eliminated says the applephobe. Battery life also sucked. The Cowon D2 was a sure winner at first, but what sold me about the Zen was the ability to read m3u's and make playlists. Navigating 16 gigs of music will be nearly impossible without this. In addition superior bookmarking capabilities and the ability to navigate 2hour long audiobooks sold me on the Zen. It was hard to turn down Cowon's OGGFLACAPE capabilities, it is WMA voice recording, and it is TVout port. They both have amazing sound quality. The Sansa View had the advantage of durability, integration of SD mini card files into regular interface, and great customer service from Sandisk. I had an e280 before and the interface, which is virtually the same, is very basic; only allowing you to choose by Album, Artist, Genre and so on. The sound was good, not ""amazing,"" and I could USUALLY here audiobooks over subway noise. Reviews say video watching stinks. No bookmarking for audiobooksthey told me 5 years ago they were working on this! Boooooooooo, Sandisk. Here is a rundown of the pros and cons. Hope they are helpful: Creative Zen PROS Bookmarks price for 16gb version 32Gb EXCITING but expensive. Playlist support Large touchlike screen no touch Blind control with buttons Audible compatible Organizer w/ Outlook sync Interface clean and easy 25 hours audio battery time Can use as USB drive with software CONS First generation Just not together yet Lots of hangs and resets must be a power user or geek get the extra Warranty. SD card files",The best for the - and not touch,Cell phone charger (Motorola) is compatible: I'm in Love!
8010,GOOD,Four Stars,Five Stars
8011,"My 2 year old loves this String A Farm set  he loves concentrating on threading each object, and parading it around on the string when he is done. There are a lot of objects to thread, so it is a great activity for keeping him happy  occupied.",Nice for a 2 year old.,Great for my 2 year old
8012,"This has given our old, cheap bed new life!  We love it!  So comfortable.  It only smelled strange for a couple of days, but we let it expand in a separate room like instructed, anyway, so it was not a problem.",Very comfortable.,We love it! So comfortable
8013,"My daughter is only 6 months. But she kept pulling at my hair and tangling it while playing, and although its sweet, I wanted her to have a doll to play with the hair sometimes instead of mine. She LOVES this doll. She smiles when she looks at her and plays with her hair. Its light enough for her to hold and carry and soft. I chose this one because unlike most, she is not wearing a bikini with a bare midrif. The hair is super thick and long and really fun for a little girl. I think she will be playing with this little doll until she is 7",Loves this doll.,Bought it for a baby girl
8014,Great! Thanks,Five Stars,Five Stars
8015,"Peter Gabriel  former lead vocalist and weird stage performer of Genesis in the 70s  is back with another masterpiece. His first solo efforts in the late 70s were somewhat clumsy and showed a man in search of his own songwriting style. In the 80s, Peter Gabriel has finally found it, and kept on improving it over the decades. ""Up"" fits nicely into his gallery of masterpieces, comprising milestones like ""So"" and ""Us"". The basic mood of the album is melancholic, the songwriting is very emotional and dense. You need some peace of mind to really enjoy this music  it is not something to be listened in the background.",A clumsy but not the best in Genesis,This guy is a genius
8016,"great kid to have for planting and potting and transferring plants to different pots , adding rocks and other things ,picking Off Dead Leaves and flowers.",Great kid to have for planting and potting,glad i purchased this kit.
8017,Received as described,Five Stars,Nice Stamp
8018,What can you say about batteries....I just love getting it on Amazon.  Might be a bit more expensive but my time is valuable too...and it works!!,Super good,Cordless Phone battery
8019,"The clippers themselves work great and the fact they are cordless is great too.  The only minor complaint is they are a little loud.  What I did was take them out of the box for two days before I got ready to use them, and placed them on my lap with them being on so the dog could hear them.  I ran them up and down my legs, and then gently placed them on my dog while he was sleeping and resting so that he could get used to the noise and vibration.  Once we actually used them, he was very relaxed.  Now we have used them two or three times and he just lays down and let us us clip him.",Great clippers,Great Clippers!
8020,Good,Four Stars,Five Stars
8021,"Love the Otterbox products.  They are built so well and provide great protection.  This one lasted for about 18 months before the side button the rubber part covering the power button split and made it so I had to stick my finger into the hole to press the button.  No problem though, just got a replacement rubber part on eBay for about 4 bucks and was back in business.",Love the Otterbox products. They are built so well and provide great protection,Built like a tank...mostly
8022,"always great sounds, an music soothing too",Five Stars,Five Stars
8023,Great taste,Five Stars,Five Stars
8024,Hope I never need it  but I am certain it will work,It will work,Five Stars
8025,"I use this paper on my Canon iP4820.  I can produce high quality prints that meet the requirements of my photography course.  They are equal in quality to the prints made on the school's commercial Epson printers.
I have been using paper from this supplier for three years.  It works great and I have no issues with the product.",I can produce high quality prints that meet the...,Excellent product and fast service.
8026,"One of my best friends owns a Huskymix that is the sun and moon to my friends 4yearold daughter. During certain times of the year the dog takes to running away: he jumps fences, wiggles out of collars, harnesses and off leashes, he pushes through legs and hands whenever the front door is opened .. and just bolts. Not one of us can figure out where he is so intent on going he has lived in the same house since he was 8 weeks and 1 day old, there is always plentiful food and water and love, and my friend makes sure he gets daily exercise. The last time Banshee bolted it took over a week for him to be found, quite a ways from home, and he was really rough looking. My friend and his wife were considering rehoming Banshee, they had made the decision that they would rather have the heartbreak of not living with him over the heartbreak of him being hit by a car. I was able to purchase the Hot Spot Wireless LED Collar at a promotional cost in exchange for an unbiased review and I offered it to my friend as a last ditch effort at keeping Banshee home safe with his family. I was able to give the Hot Spot collar to my friend on September 15th. Today, October 3rd, I stopped over to see how the family was doing. I rang the doorbell and when my friend opened the door for me my heart fell. Banshee did not appear at a 100 miles an hour to try and lunge through the door: I was sure they must have made the decision to give him away. My friend looked sad and we walked to the kitchen my friend broke into a huge grin",the sun and moon to my friends 4 years old daughter,"Turned a friend's ""family problem"" into a safe, happy family pet! Well-made and effective training collar."
8027,"This is a helpful reading about anxiety problems. This guide definitely helped me to start being more positive, and it opened my eyes on how to live a stress free life.",A great read about anxiety problems.,Guide on how to stop worrying
8028,our parrot loves his new perch!!!!  it is perfect for him!! he sits on it all of the time.. ty,tyre,perfect
8029,"I bought this for one reason and one reason only: the hope that iMovie had been fixed from the 2008 version to be more like the 2006 version. Did not happen. iMovie is now worse than ever. Editing audio files is probably the most frustrating thing I have tried in a while. The interface is not designed well, and I found myself looking for features that used to be there fade out video effect in conjunction with audio fade out thinking they have got got to be there somewhere, and then finding out that they simply do not exist. IMPORTANT: If you install iMovie 09, it will make your existing install of iMovie HD UNUSABLE. You CANNOT keep your old installation of iMovie 06HD when you install iMovie 09! This is amazingly frustrating, especially sine iMovie 09 will not open iMovie 06 video files! I honestly think they do not want to make iMovie 09 work the way it should to force people to buy the much more expensive Final Cut, even if you do not need all of the features of a full video editing software. Working with HD video in iMovie is a joke; it lags, stutters, and crashes for no apparent reason. iPhoto is fine, but the new features are not that impressive. The face recognition would be awesome if it worked well, but it does not. It wanted to group my grandmother and my sister together I guess there is a little family resemblance there. The GPS feature is awesome if you have a GPS enabled camera, but if you have a camera that nice you are probably using a proffesional image editing software. Eventually next 23 years as consumer cameras start to have built in GPS, this feature will be valuable, so I guess you",iMovie is better than ever. Editing audio files,iMovie09 will kill your installation of imovie HD! The rest of the programs are ho-hum
8030,"I simply adore Tessa Dares heroines... she writes a period romance like no other which is largely due to her witty, fast thinking, amusing and Independant heroines regardless of the era they have been born into. Charlotte Highwood is one of the best of them. Such feistiness, wit and energy makes her utterly delightful and a wonderful match for our mysterious Marquee Piers Brandon. Do you want to start a scandal was a funny, sexy, sweet romance with a serious, confident, self assured hero that could surely kick butt. Behind that hard exterior hides a passionate heart just waiting for the right lady. Piers is that hero and Charlotte with her fabulous sense of humour, smart words, self aware youthfulness is a perfect foil for Piers. I simply loved them together and their interactions and conversations were delightful to read... This was whyno matter what her mother schemed and plannedCharlotte had promised herself she would only follow her heart. I cannot agree to a convenient arrangement, my lord. Your devotion to duty may be admirable, but lie back and think of England simply is not for me. The story starts with Piers Brandon finding himself at a house party closeted in the library alone with Charlotte Highwood a young woman who is desperately trying to save him and herself from her out of control matchmaking mother. Charlotte has plans to tour the continent with her best friend Delia and has no desire for marriage just yet of course when she does marry it will only be for love. Unfortunately for Charlotte an amorous couple enters the library and proceed to put the desk to good use. Fortunately for Charlotte, Piers is a quick thinker with sure fast reflexes and she finds herself in his arms hiding behind a curtain while",A classic thriller,"Utterly delightful, funny, must read..."
8031,Water stays clear with these,Five Stars,Great product
8032,My cat could not eat certain dry foods and once I switch to this one I am so glad she can keep it in her stomach. Other foods upset her stomach thanks to the limited ingredients she can finally gain some weight and be healthy.,My cat couldn't eat certain dry foods,... once I switch to this one I am so glad she can keep it in her stomach
